x,y,z,w
15.69988277,41.10523364,2.74,3.5
15.35862532,41.20373353,2.745,3.5
15.01116082,41.29654726,2.75,3.5
14.65128222,41.37798863,2.755,3.5
14.28209306,41.45090074,2.76,3.5
13.90048979,41.51244048,2.765,3.5
13.50957595,41.56545097,2.77,3.5
13.10004097,41.60140291,2.775,3.5
12.67188484,41.62029633,2.78,3.5
12.24372871,41.63918975,2.785,3.5
11.84544129,41.67688041,2.79,3.5
11.45140223,41.65850786,2.795,3.5
11.07042292,41.64924415,2.8,3.5
10.68464545,41.59275987,2.805,3.5
10.27353339,41.54732702,2.81,3.5
9.842252033,41.4948374,2.815,3.5
9.42907095,41.44750915,2.82,3.5
9.03915545,41.38723409,2.825,3.5
8.629077892,41.34274893,2.83,3.5
8.197796536,41.29025931,2.835,3.5
7.76651518,41.23776971,2.84,3.5
7.335233825,41.1852801,2.845,3.5
6.902090353,41.13108463,2.85,3.5
6.465222654,41.07347745,2.855,3.5
6.033941298,41.02098785,2.86,3.5
5.602659942,40.96849824,2.865,3.5
5.171378586,40.91600862,2.87,3.5
4.740097229,40.86351902,2.875,3.5
4.306953759,40.80932356,2.88,3.5
3.875672403,40.75683394,2.885,3.5
3.462491322,40.70950569,2.89,3.5
3.07257582,40.64923063,2.895,3.5
2.662498263,40.60474547,2.9,3.5
2.231216906,40.55225585,2.905,3.5
1.799935551,40.49976624,2.91,3.5
1.36679208,40.44557077,2.915,3.5
0.935510725,40.39308116,2.92,3.5
0.498643024,40.33547399,2.925,3.5
0.067361669,40.28298438,2.93,3.5
-0.363919688,40.23049477,2.935,3.5
-0.795201044,40.17800516,2.94,3.5
-1.2264824,40.12551554,2.945,3.5
-1.659625871,40.07132008,2.95,3.5
-2.072806951,40.02399183,2.955,3.5
-2.462722454,39.96371677,2.96,3.5
-2.87280001,39.91923161,2.965,3.5
-3.304081367,39.86674199,2.97,3.5
-3.735362722,39.81425239,2.975,3.5
-4.166644079,39.76176277,2.98,3.5
-4.59978755,39.70756731,2.985,3.5
-5.031068905,39.6550777,2.99,3.5
-5.467936606,39.59747053,2.995,3.5
-5.899217961,39.54498091,3,3.5
-6.330499318,39.4924913,3.005,3.5
-6.761780673,39.4400017,3.01,3.5
-7.194924144,39.38580623,3.015,3.5
-7.626205499,39.33331662,3.02,3.5
-8.039386581,39.28598837,3.025,3.5
-8.429302084,39.22571331,3.03,3.5
-8.83937964,39.18122815,3.035,3.5
-9.270660997,39.12873853,3.04,3.5
-9.701942352,39.07624891,3.045,3.5
-10.13322371,39.02375931,3.05,3.5
-10.56636718,38.96956384,3.055,3.5
-11.00323488,38.91195667,3.06,3.5
-11.43451623,38.85946705,3.065,3.5
-11.86579759,38.80697745,3.07,3.5
-12.29707895,38.75448784,3.075,3.5
-12.7283603,38.70199822,3.08,3.5
-13.16150377,38.64780276,3.085,3.5
-13.59278513,38.59531316,3.09,3.5
-14.00596621,38.54798489,3.095,3.5
-14.39588172,38.48770985,3.1,3.5
-14.80595927,38.44322467,3.105,3.5
-15.23724063,38.39073507,3.11,3.5
-15.66852198,38.33824545,3.115,3.5
-16.10166545,38.28404999,3.12,3.5
-16.53294681,38.23156037,3.125,3.5
-16.96981451,38.17395321,3.13,3.5
-17.40109587,38.12146359,3.135,3.5
-17.83237722,38.06897398,3.14,3.5
-18.26365858,38.01648437,3.145,3.5
-18.69493994,37.96399476,3.15,3.5
-19.12808341,37.9097993,3.155,3.5
-19.54126448,37.86247105,3.16,3.5
-19.93117999,37.80219599,3.165,3.5
-20.34125754,37.75771083,3.17,3.5
-20.7725389,37.70522121,3.175,3.5
-21.20382025,37.65273159,3.18,3.5
-21.63510161,37.60024199,3.185,3.5
-22.06824508,37.54604652,3.19,3.5
-22.49952644,37.49355691,3.195,3.5
-22.93639414,37.43594973,3.2,3.5
-23.36767549,37.38346013,3.205,3.5
-23.79895685,37.33097051,3.21,3.5
-24.23023821,37.2784809,3.215,3.5
-24.66338168,37.22428544,3.22,3.5
-25.09466304,37.17179582,3.225,3.5
-25.50784412,37.12446757,3.23,3.5
-25.89775962,37.06419251,3.235,3.5
-26.30783717,37.01970735,3.24,3.5
-26.73911852,36.96721775,3.245,3.5
-27.17039988,36.91472813,3.25,3.5
-27.60168124,36.86223852,3.255,3.5
-28.03482471,36.80804305,3.26,3.5
